Date,Total,Positive,Average,Volume,Price,Change
2015-04-27,92.0,72.0,0.782608695652174,96954207.0,132.65,2.3700000000000045
2015-04-28,121.0,104.0,0.859504132231405,118923970.0,130.56,-2.0900000000000034
2015-04-29,91.0,74.0,0.8131868131868132,63386083.0,128.64,-1.920000000000016
2015-04-30,60.0,47.0,0.7833333333333333,83195423.0,125.15,-3.4899999999999807
2015-05-01,48.0,37.0,0.7708333333333334,58512638.0,128.95,3.799999999999983
2015-05-02,9.0,6.0,0.6666666666666666,NaN,NaN,NaN
2015-05-03,3.0,2.0,0.6666666666666666,NaN,NaN,NaN
2015-05-04,30.0,22.0,0.7333333333333333,50988278.0,128.7,-0.25
2015-05-05,36.0,27.0,0.75,49271416.0,125.8,-2.8999999999999915
2015-05-06,60.0,48.0,0.8,72141010.0,125.01,-0.789999999999992
2015-05-07,45.0,41.0,0.9111111111111111,43940895.0,125.26,0.25
2015-05-08,23.0,17.0,0.7391304347826086,55550382.0,127.62,2.3599999999999994
2015-05-09,10.0,9.0,0.9,NaN,NaN,NaN
2015-05-10,5.0,5.0,1.0,NaN,NaN,NaN
2015-05-11,31.0,27.0,0.8709677419354839,42035757.0,126.32,-1.3000000000000114
2015-05-12,28.0,27.0,0.9642857142857143,48160032.0,125.865,-0.4549999999999983
2015-05-13,30.0,25.0,0.8333333333333334,34694235.0,126.01,0.14500000000001023
2015-05-14,44.0,39.0,0.8863636363636364,45203456.0,128.95,2.9399999999999835
2015-05-15,20.0,17.0,0.85,38208034.0,128.77,-0.1799999999999784
2015-05-16,8.0,6.0,0.75,NaN,NaN,NaN
2015-05-17,7.0,6.0,0.8571428571428571,NaN,NaN,NaN
2015-05-18,50.0,39.0,0.78,50882918.0,130.19,1.4199999999999875
2015-05-19,94.0,62.0,0.6595744680851063,44633240.0,130.07,-0.12000000000000455
2015-05-20,36.0,27.0,0.75,36454932.0,130.06,-0.009999999999990905
2015-05-21,39.0,32.0,0.8205128205128205,39730364.0,131.39,1.329999999999984
2015-05-22,25.0,19.0,0.76,45595972.0,132.54,1.1500000000000057
2015-05-23,3.0,2.0,0.6666666666666666,NaN,NaN,NaN
2015-05-24,3.0,2.0,0.6666666666666666,NaN,NaN,NaN
2015-05-25,9.0,7.0,0.7777777777777778,NaN,NaN,NaN
2015-05-26,35.0,29.0,0.8285714285714286,70697560.0,129.62,-2.9199999999999875
2015-05-27,48.0,42.0,0.875,45833246.0,132.045,2.424999999999983
2015-05-28,77.0,63.0,0.8181818181818182,30733309.0,131.78,-0.26499999999998636
2015-05-29,30.0,27.0,0.9,50884452.0,130.28,-1.5
2015-05-30,7.0,6.0,0.8571428571428571,NaN,NaN,NaN
2015-05-31,12.0,9.0,0.75,NaN,NaN,NaN
2015-06-01,56.0,51.0,0.9107142857142857,32112797.0,130.535,0.25499999999999545
2015-06-02,32.0,29.0,0.90625,33667627.0,129.96,-0.5749999999999886
2015-06-03,65.0,54.0,0.8307692307692308,30983542.0,130.12,0.1599999999999966
2015-06-04,80.0,66.0,0.825,38450118.0,129.36,-0.7599999999999909
2015-06-05,39.0,35.0,0.8974358974358975,35626800.0,128.65,-0.710000000000008
